Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang
11,23282.136557140366,17730.079720444923,67124.53323072911,38637.18290451938,58858.34722710006,38438.68509320765,12807.50475651332,16570.677974826907,34672.42589721037,131166.7658816742,104505.58088142396,46249.75282880712,44453.69375027008,35468.34048182837,109365.2763981799,55494.83252080937,40717.025602461115,35457.155337529555,156469.2763856907,37521.46408386392,6698.300480259721,25101.945341644616,55118.085852650205,31535.82223613912,32670.585618665642,2103.115130985395,38204.850417022106,24519.741569456124,14000.963568699979,20273.827812084986,53420.16367031648
12,22071.475071539502,15942.119746560827,64450.19336403724,38649.05640030346,58874.14071992082,37279.62060490356,12836.560795229552,16506.573325684192,33192.01126435321,128871.06070439171,92578.3351604656,45938.955252775566,43060.52938818134,34917.12800380298,108586.01288430011,58030.2204573054,39181.5414255484,32439.901048347823,129436.06492420073,36954.73559843506,6520.533123984732,25024.269417045238,57222.64092488842,32103.1303823583,31551.602518879725,2061.114198929456,37764.305997446834,24613.095537332287,14055.2419003655,20237.355032406453,52907.75380018828
13,21282.249608338505,15800.186168937114,61423.73681829707,37012.88570959163,55849.49177744115,37767.6346677916,12453.4227885318,16217.820934550704,30793.889516494335,116689.8928265856,91765.23683519132,43561.67352886441,39800.42868635093,31936.699814170384,107510.05073885788,56710.112188849445,37144.33285172142,31826.086147586215,123371.38002249181,35800.07940919469,6131.585535557323,25192.101170891845,52993.089297033715,31746.56353172665,31270.15511428125,1986.9004264875687,36976.44298854216,24221.179944593627,14058.278266973031,20314.43971100613,52653.201230638995
14,21385.105673012804,16685.006754002177,63864.6521569929,37748.935455505365,55258.39598588553,38417.37086053078,12567.849855080438,16402.793748857242,31420.841205822522,124169.61757921525,96357.575226688,43696.79256857761,39174.210558768325,32313.857138104584,108853.10733682173,52285.49913533457,37398.33815470894,31929.1583274917,143844.4007579868,35961.44871262578,6091.848344927253,25657.716408738095,53697.15460274848,30757.42161304598,31832.35997095076,1984.7200644260888,36953.108556925,24049.450568506953,14022.19997900547,20378.048914225907,52407.80489350424
15,21455.451176240476,16313.784137632936,64697.08854893951,37864.182764418314,56428.3105692212,39657.587165137644,12674.285038527038,16492.539250639024,31038.17605445641,125591.75959269879,95865.67042916076,44008.06389498594,40177.175280584925,32722.346934044323,109801.27621647794,53884.40350072169,38416.214077393386,30963.866027845594,152233.57977517627,36510.594767254806,6222.897833199616,25685.073566987143,55634.065506617204,30254.467316371873,32112.436886127703,1995.6747086954067,37070.23631305246,24008.68971544258,13899.783490457847,20381.31105968182,53253.91808308733
16,21929.53856336574,16560.584302077685,65706.63403310261,37910.315238622214,58061.71043162963,40715.86975420368,12736.080149195217,16747.662736435625,31056.365604440016,126019.70575297117,95913.64533982915,44881.58900242698,41185.26894179311,33075.8171795299,113355.54742148692,54285.937244012595,39692.66004839168,32207.926113682763,154348.04477924266,36658.56348952082,6460.847917143577,26189.08093727486,56087.52778680964,30595.198850749508,32391.842448475596,2006.6975469874033,37187.81768078099,24013.530816611423,13614.890220573347,20324.999689653225,53991.89788682502
17,23135.043605055977,17373.670598464665,70468.47636910356,38837.41902029104,61250.49575686803,42861.2281150469,13033.31157711245,17762.90277889209,32341.460550943997,127677.82043378847,94610.53450679497,46727.75140541453,43447.703488874125,35504.745776695796,114952.90717488817,53483.590015363254,42258.790211615706,34977.234462323,160731.8435835002,38112.47311582757,7025.217558380851,27290.482198210262,57647.60692884158,29848.720770080185,32948.675141775886,2088.7775947432215,38054.88916006598,24535.305895745714,13902.15715389812,20682.56861583901,54420.63092468801
18,24031.23221989667,17035.612377024816,73904.41795265212,40120.96534161721,62908.411884905734,40688.30497575991,13647.493006411325,17459.539095079675,33316.637107087096,127862.70967515612,91268.40594709427,49018.921894463994,48292.123271801844,36032.46132376304,119201.0379153139,58030.2204573054,46923.947339533326,38103.479499796544,150125.9314304303,38982.83425298711,7532.710879494674,26435.862037106897,62318.76144174402,31697.93375309575,34054.6645270626,2198.481686290197,39191.47660473815,25218.906481809005,14151.944218162744,20921.61338671711,54925.42519647839
19,23645.719303965474,16172.70522640121,67777.60104071556,39475.450626139704,62894.13165812486,40092.787599158095,13282.085312830179,17384.64303314214,32561.968363373886,128656.64348809073,88671.50375922107,50770.53088532561,49353.6960170051,35459.73964247363,114438.7382246108,64991.267152508575,45406.544307937416,36246.637778987446,169424.40423981825,39459.08915931598,7826.863868050225,24379.42140320181,67834.3901612361,32605.413078018784,35292.02193325323,2235.7902081541806,39572.48838785785,25388.512871968138,14356.148201020842,20695.811028282846,56032.751315367415
20,23178.114649184692,15652.01424472883,66511.54333077413,38895.49448671032,60711.40971433901,38708.56989431067,13097.908603736969,17077.535256947533,31993.996185122818,126533.79095229671,85763.75610946858,47224.600356940064,45454.9380327598,34096.11315932106,108498.38681089999,61778.880256389566,44164.57241555574,34058.21248569876,158597.2254236209,38789.38090385389,7583.264053163337,23836.960249217584,59909.99360318447,33286.45904171277,34329.609948303914,2176.9503362880623,38970.337499015965,25125.111854112904,14141.153747632257,20633.304721338558,55128.14473760742
21,22393.635703368676,15503.579736604244,64627.1180208506,38682.26614967966,61052.13490249963,37683.01645263551,12879.766191333943,16660.453200579894,31147.661802796945,123376.87899377717,82800.86565316247,44498.19896231682,43667.884267172994,32122.74417250954,106895.86979889857,59159.541804768895,41744.18221715761,31824.974305692365,152233.57977517627,38333.63802826232,7192.14148288196,22187.35902786232,57436.03565715977,32054.512949200973,34054.6645270626,2119.920126170509,38380.06761196656,24893.92536948083,14148.827857857957,20581.242616140862,53469.238614011745
22,21148.369173510135,14249.65686207071,60580.31858271721,37960.81049089584,58658.51189674644,38025.52491580492,12592.238029620245,16164.184283185868,30346.456969996398,122462.10205044111,81926.79215577038,41528.467952968225,42711.50059379438,29687.617928386688,100817.42367991655,55899.21992356717,38416.214077393386,31394.12929027028,129436.06492420073,37379.189558681166,6777.683181819027,20600.879393484967,51882.57798152402,31697.93375309575,33779.10619958357,2012.3522466291286,37248.030191695325,24558.91031007873,14014.608856140416,20481.139851154956,52653.201230638995
23,19244.574834265186,13029.283697537523,56539.67864035722,36766.60858462671,55039.8383872935,37035.02622250175,12164.034159444876,15284.90205149488,28078.788085863438,120953.66785312648,81137.27821437159,39524.368709449154,40390.096560210965,26130.649681832216,99390.4503742318,50303.3518788597,37144.33285172142,30994.12812768302,111449.81711166742,35685.931918884286,6241.0961095327375,19816.316904028077,47999.562667049635,30773.642818719512,30705.15157527762,1882.1273092649535,35842.52439362794,23987.989554468728,13842.772860074576,20486.413310275108,52101.98923965243
24,17327.36794742026,12406.599303757688,53253.3860716208,35963.04145932928,51932.021170218526,36115.23922381721,11758.798176613556,14663.489300578189,25695.252201912117,111176.94746145021,76895.1827190182,38546.988014549795,36751.95996693246,24140.13575130468,98873.39113024286,46395.42786499257,30360.619214451875,29196.76214307115,96008.60135136038,33791.23144644999,5539.95314924475,18352.126121861183,48507.9874638446,28744.45085243448,28125.74410048844,1772.2758668437807,34624.43079303273,23565.943175618213,13725.665517564063,20092.879299058062,50589.571273724294
25,15236.929893407718,11284.353946625028,47798.68137027222,34745.11360093261,49086.82443376074,33365.23011237834,11135.108787045505,14006.90948509351,21134.06172386943,99548.11471803642,68348.72243715954,36876.56595665476,29999.283891930743,22077.257072714106,97343.58951227259,39770.14898311636,28105.284663301078,25932.373853728262,81322.41628714313,31379.740715798507,4792.449037970736,16979.29639090212,43111.34406026317,24437.729433075954,26411.77222516407,1641.224729511525,33128.43742691581,22722.938912186815,13050.490513141574,19415.92608825293,50518.89652514647
26,13683.74602175819,11289.723731582788,42626.15109892143,33837.20145139166,48473.48489606957,33005.570630581075,10988.353222383865,14069.192054573405,19778.350199532324,98798.68947619834,64927.15091347096,34646.30906767615,28331.07097643158,21721.24402671601,96734.66708331351,40129.500149377694,26923.496005962963,25466.503060579686,77919.74462743972,30734.01898330435,4560.292407127495,16550.99762841933,42282.94887584781,23789.15794559756,25834.827586707313,1613.325146368931,32803.47896088386,22608.050802836566,13018.372080091605,19391.532693972487,50358.651262186875
27,13602.215108415177,11036.21801320041,42841.525160899604,34623.086610677965,48249.389296158,33008.86169219741,10948.815679821122,13942.734836619187,17607.98672211073,96121.5161886632,62702.86084904998,33879.58304140433,27282.04978342458,21415.675164314816,96079.52889464759,39053.79425400864,25747.284671959205,25270.392193059266,74551.33116741825,30266.69711026184,4398.53126215854,16488.63497198812,41568.18182957851,23330.170243844423,24962.673579513397,1593.0944627602023,32566.347245742658,22584.276278076173,12961.035901429583,19368.563221170694,50036.698811774135
28,14049.561312438984,11016.103202404936,46536.88092516622,34612.18487644678,48410.13645957037,33163.919260973445,10931.115318219287,13926.300092516267,16967.82734681989,94242.34430901785,61462.615456772364,33424.98360849372,26851.70142097787,20999.15098030001,95097.4238167782,38340.59435830766,24110.34035671702,25132.758867343724,72880.22525873876,30063.19539581148,4382.225355212772,16447.733076827662,41222.54933492159,23013.507690100585,24376.556160478576,1579.9461110985155,32411.54359030315,22559.53517592507,13002.98005298645,19332.773722977567,49572.857759072875
29,14433.84420130875,10952.61163858477,47360.258398449914,34618.80084599983,49319.649286121625,33639.44976683681,11075.730768450163,14147.751628752234,16918.715463564276,93409.24488220164,61388.035483677806,33638.676105586004,26798.475384843463,20948.329665517893,97213.64699123299,38340.59435830766,25982.071422222918,25216.204640135693,71217.99469324006,29971.395310947057,4460.275579293029,17180.84635734053,41653.74648964744,23108.516787286142,24670.09441113742,1581.404974689509,32428.74662949794,22686.1224505643,13001.487766197608,19350.072538269847,50036.698811774135
30,15116.963065411732,11674.856718614226,49669.672108823455,35103.7300951594,51924.69601514553,35099.653549696624,11322.48814236093,14729.305918104175,17031.70833966002,93739.28970206133,63101.37178275367,35196.27612145649,27823.77826281747,21911.838307746362,99589.36262782439,38696.79807815184,28105.284663301078,25556.48392702317,72880.22525873876,30561.246529425756,4665.809874380539,18679.389410078213,43723.827766157054,22981.836012860218,25254.311045316685,1627.670397238868,32970.86003731623,22926.024279556506,13078.241054457963,19433.20943501859,50197.92019914051
31,16407.808278299897,12680.879225356653,52950.754644577566,35996.11680170914,54983.92498527434,35180.621715495654,11910.309107450816,15779.1315187094,18335.171624949267,99165.48724155835,69307.92076531467,38885.83432458986,30676.51576505779,24759.476333522853,103959.92028402223,41212.205416627025,30007.29085764109,25814.43499288083,77919.74462743972,32194.265303010652,4931.3698547359845,20008.045345462284,45083.80639039033,23456.807859314646,25834.827586707313,1738.098458774322,34238.95112149737,23319.490667741593,13333.357651218783,19589.98901972785,50837.94740229163
32,18165.638211527774,14152.87342847033,55597.441807583586,36202.902668179755,54608.57384748611,35495.29892486257,12297.7318575577,16182.279629838857,21385.26850400265,107247.4679224548,81063.64111215874,42823.62115630224,33924.5439928374,28025.461528368774,104659.02459068492,44870.56714550679,33366.988889475426,27552.958748624107,102417.2462564016,33766.139128820105,5411.720876707716,22613.724126107216,42786.88181009193,25433.556989570312,27270.75308178471,1801.3279851038853,34949.62543142736,23433.672545447793,13300.745512602814,19222.793714901698,51155.10766313263
33,19750.707570796672,16158.624654233536,59220.62369305753,36277.1404397538,55248.39223806193,36289.02026635289,12324.352931476795,16141.494955167116,25332.304547172946,112077.47808048814,90305.51144927861,44432.52423352854,36459.89237528279,31874.82086935919,105708.6229993843,47101.026387535545,36763.67668509654,29452.871921324957,128370.28754740584,34901.32092320341,5898.714276320635,23705.04500635355,45540.498130684304,26428.499440232776,30911.80991792792,1962.1022295217967,36710.404342699636,23869.497946750656,13357.42757010307,19485.32289891637,51453.43159291114
34,20874.453572990176,16946.03633106817,60620.24490287531,37354.3685631528,56684.86336209178,37025.50075390563,12475.274002942962,16266.13326836188,29811.31978064678,117244.29609969218,95793.73712555546,44921.411945629465,38075.74163650902,33291.50673012936,105544.57926098422,51256.689993562024,37985.21420800901,30017.556079692924,137958.81309860325,35239.70063935801,6238.1303063451605,24904.36838971893,46919.42352498575,29644.54470603655,31735.011749707406,2002.2196074847109,37140.08438869119,23983.568049803653,13306.252691721418,19527.578084044377,51939.95617834643
35,21648.552047901878,17263.236282568836,62831.56790684984,37584.6040879297,57399.66089479436,35951.64776364283,12529.608059340115,16284.526469628883,31767.73319601257,123469.09850494529,98025.2352141288,46035.54332335007,39891.41672812822,34523.38637114548,106699.73734321239,52788.58522996684,38965.514972714496,32492.89322884365,143788.05480764326,35746.334902776216,6361.7656728561315,24175.78608573729,50241.51971205919,30604.626669536563,32008.1026612603,2008.3266414444215,37205.17203191074,23946.992436635977,13359.80312690067,19589.256700067635,51819.98132552908
36,20522.83628212168,15522.354347483999,60391.18634091336,37596.154118357306,57412.930503001415,34867.576388209156,12558.033641355718,16221.52881453133,30411.340735458976,121308.11933642719,86837.59281845386,45726.18523166145,38641.23265003857,33986.85939827467,105939.46667055941,55200.333064804676,37496.082203483886,29727.885135854267,118945.77917987142,35206.418171547295,6192.929672106769,24100.976085493556,52159.87452266781,31155.183236339137,30911.80991792792,1968.2187131761682,36776.15501603222,24038.16577777123,13411.595835420323,19554.01546933853,51322.92051409213
37,19788.98659973947,15384.157964524513,57489.03428022206,36004.55703472299,54469.29726611388,35324.01525051964,12183.208946942208,15937.762757178387,28214.122344009025,109841.81682831407,86074.91436707372,43359.91408210507,35715.715674937055,31085.836329691672,104889.72874559007,53944.600869991045,35546.50754739212,29165.385921158068,113372.61321923591,34106.38841935274,5823.523518427952,24262.615533120683,48304.53197590162,30809.145157338025,30636.069607506717,1897.3497939423924,36008.9074423886,23655.404821317956,13414.493154586871,19628.497287509603,51075.99297785662
38,19884.625797803597,16245.68070263411,59792.157027125504,36720.55484329906,53877.81864723288,35931.71259198715,12295.153179834666,16119.541360040164,28788.55097073427,116882.5856241645,90382.48385008641,43494.40730695644,35153.76623535975,31452.945358194404,106200.05128085313,49735.757403394215,35789.58638947999,29259.841139143064,132186.37586703568,34260.12338957094,5785.782796579017,24711.051470464383,48946.305186789425,29849.210803391812,31186.87426644296,1895.2677019296677,35986.18358578121,23487.686819125847,13380.067036553124,19689.958646553805,50837.94740229163
39,19950.0355287457,15884.23259631647,60569.948961857874,36832.662511407194,55018.441362774785,37091.68514635095,12399.278937167037,16207.737087548461,28437.943705236063,118221.26765364457,89921.08185534246,43804.23695480835,36053.79681338914,31850.552093167593,107125.1106209675,51256.689993562024,36763.67668509654,28375.248471500923,139895.64480582328,34783.28950951319,5910.248120043295,24737.399261312494,50711.84812703914,29361.107833813596,31461.271877758238,1905.7286147011478,36100.246545558985,23447.878086342975,13263.256491446149,19693.11064159495,51658.71556680109
40,20390.858708793894,16124.534367124277,61544.208065398736,36877.53821528123,56640.94374673179,38081.49535406851,12459.733220134376,16458.454961843654,28454.609420307388,118624.09931807054,89966.08186264336,44673.716259411034,36958.42994840271,32194.605118762487,110592.75425074497,51638.642641540006,37985.21420800901,29515.303593085595,141838.74070884314,34924.257876030926,6136.243158687667,25222.81081822064,51125.19038551067,29691.77818469525,31735.011749707406,1916.2546479553412,36214.751247614804,23452.606105712468,12991.409630395476,19638.700695291423,52374.589443270605
41,21511.779831088214,16916.211622611263,66011.07101456152,37779.3852435326,59774.378637785034,40088.04599254108,12750.515333084757,17456.163285517847,29632.045158813547,120184.90569674583,88743.77636622022,46511.32801053235,38988.671121267565,34558.821749389565,112151.18185906556,50875.4224795961,40440.958010940325,32053.09433330525,147705.15764097587,36309.38347518582,6672.257841965388,26283.57487122653,52547.24170957715,28967.34224626279,32280.55318016524,1994.635305395528,37059.13470151227,23962.193200595182,13265.521455289245,19984.19586018799,52790.479932727176
42,22345.08762590767,16587.054673178533,69239.00519656113,39027.964376094555,61413.98126031972,38055.714055803706,13351.370279675868,17158.038251257203,30525.526011477337,120358.94450757935,85608.89174649603,48791.88675644033,43335.908708595896,35072.477800898276,116295.77371793635,55200.333064804676,44905.4356398503,34917.981413017274,137958.81309860325,37138.568088710694,7154.253774960695,25460.486703429604,56805.11637825592,30761.951327766168,33364.11569109542,2099.394976648533,38165.98189360328,24629.825769958385,13503.869765092875,20215.168985882017,53280.15326841457
43,21986.624114399936,15746.868375879694,63416.54058451518,38400.03518482536,61385.59552790613,37498.72749633112,12993.89118679395,17084.435535366792,29834.07986424998,121106.28543267358,83173.02233505099,50535.3830272821,44288.53237591196,34515.0146769493,111649.54465069885,61821.91907683051,43453.306225374596,33216.37396022615,155693.22032612885,37592.29151865659,7433.627981996596,23479.92032952281,61832.75049776401,31642.634436062137,34576.38238714732,2135.021984085469,38537.02401999355,24795.47037640094,13698.722426149154,19996.991126039855,54354.309820165916
44,21551.828807619626,15239.887494318968,62254.07668545401,37835.878580999364,59244.387129154486,36204.07063613415,12813.71073615438,16782.63106375329,29313.68972267383,119108.01485634584,80445.58285376885,47005.875765582576,40789.90343530335,33187.71818367464,105853.97629075941,58766.186646359325,42264.759821204934,31210.90373236313,145743.54191643227,36954.26695934316,7202.267065174688,22957.473776474682,54609.46398992204,32303.57034911924,33633.48586315345,2078.834055756251,37950.629173161506,24538.222062240933,13493.573433613503,19936.595422601207,53476.80041649252
45,20822.392604576104,15095.361354186247,60469.33176831022,37628.459146527915,59569.76394798191,35244.87195364821,12600.301568600577,16372.751407818634,28538.25725273225,116136.36978331329,77666.41994741034,44292.10192156663,39186.25477386537,31266.92405970276,104290.51712072043,56274.5822064746,39948.48673592849,29164.367030623835,139895.64480582328,36520.08514212949,6830.7952046888395,21368.73610250272,52354.389181187034,31108.001387701446,33364.11569109542,2024.3742267821751,37375.80444663556,24312.43579188998,13500.89611546225,19886.291259395497,51867.58624642624
46,19664.499847655363,13874.45500720411,56654.57632622833,36926.65784363804,57215.041275339034,35565.21963448263,12319.012180793547,15885.052332763658,27804.173591000028,115275.27754117706,76846.54736784432,41336.12546379816,38328.02463710664,28896.67490097934,98360.21981146373,53173.25237655929,36763.67668509654,28769.54119219931,118945.77917987142,35610.79134259027,6437.160043008213,19840.79108676504,47292.27301796533,30761.951327766168,33094.14504110272,1921.654487351924,36273.388221783986,23985.246246643917,13372.823541739957,19789.568589267725,51075.99297785662
47,17894.28469835003,12686.214986605155,52811.3454219762,35764.989148508466,53653.72454858099,34638.807608534415,11900.099460104422,15020.954026224945,25726.47933615898,113855.36748054111,76105.99084294196,39341.308369514154,36244.86600875372,25434.472062687266,96968.02585441644,47850.27105027233,35546.50754739212,28402.980622304873,102417.2462564016,33997.64121247865,5927.532081851582,19085.17574867665,43752.807025152535,29864.953026316925,30082.523016959178,1797.2988554439537,34904.65926621542,23427.661454088764,13208.85660715792,19794.663983455714,50541.29234953932
48,16111.598089043577,12079.926239527838,49697.40351177617,34983.31331212528,50609.451636098995,33778.532130481486,11503.656270509997,14410.27216962013,23542.62487356772,104652.40478659059,72126.9458462482,38368.454493083904,32980.11091839762,23496.98977377224,96463.56879691654,44132.91989328121,29054.60664371568,26755.876660489437,88227.480512443,32192.578449556986,5261.615820007216,17675.00762598341,44216.24899805707,27895.679414106857,27555.419884436684,1692.3984744970617,33718.43863018533,23015.473527327227,13097.112080934552,19414.41813953359,51181.7139787265
49,14726.801285489797,11338.757765249202,51226.86872792902,35831.93678919908,50073.34024491535,33998.996534957885,11027.264467284975,13546.813238226332,21140.456875110645,101386.77490655129,69379.85986438743,33910.92645669522,33041.075794753786,20568.278120022074,98794.70625327677,38674.13775274719,25597.142275334554,24944.87080657299,83901.49645194616,31463.294860975115,5031.945965736597,16663.79656840362,44624.95404652129,24530.701936016812,27181.176302887063,1670.4432660902319,33466.250969946486,22929.374825044335,13278.441608837249,19672.800088572374,51110.211993709534
50,13225.617622007405,11344.153438867335,45667.33948245206,34895.625251232916,49448.901231697426,33632.50538731094,10881.930240694173,13607.04996194036,19784.335113482157,100623.50773148991,65906.66908093498,31860.028403156575,31203.713623664702,20236.598540429048,98176.70651850785,39023.58568947736,24520.817564033543,24496.740341803514,80390.91158226268,30815.85377943123,4788.187584012564,16243.456214822392,43767.47447025897,23879.662980572863,26587.42463029172,1642.0469898525826,33137.978874317916,22813.4429672678,13245.762167601544,19648.08396805463,50948.091086005734
51,13146.81634328349,11089.425525648792,45903.7335984768,35706.0928086152,49219.6409153059,33635.85896203869,10842.77562204032,13484.746586161824,17613.31488569861,97896.88687826764,63648.82244584739,31154.963025867964,30048.32641931312,19951.915288067306,97511.80207817596,37977.52478594374,23449.57245041728,24308.097362890177,76915.67138567545,30347.287578719548,4618.34261865345,16182.252346516536,43027.612438837525,23418.929075860582,25689.863814201515,1621.4561416920994,32898.42910655852,22789.452453029087,13187.424505912055,19624.8106075919,50622.370234516035
