Type,id,storage--commodity,storage--can_expand,storage--can_retire,storage--constraints--MinStorageOutflowConstraint,storage--min_outflow_fraction,storage--charge_discharge_ratio,edges--inflow_edge--type,edges--inflow_edge--unidirectional,edges--inflow_edge--start_vertex,edges--inflow_edge--has_capacity,edges--inflow_edge--constraints--MustRunConstraint,edges--inflow_edge--efficiency,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--TDR_path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--end_vertex,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--efficiency,edges--spill_edge--type,edges--spill_edge--unidirectional,edges--spill_edge--end_vertex,edges--spill_edge--can_expand,edges--spill_edge--can_retire,edges--spill_edge--has_capacity
HydroRes,Region12Anhui_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region12Anhui_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region12Anhui,200,5071,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region13Fujian_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region13Fujian_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region13Fujian,200,8922,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region14Jiangxi_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region14Jiangxi_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region14Jiangxi,200,3327,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region15Shandong_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region15Shandong_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region15Shandong,200,4000,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region16Henan_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region16Henan_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region16Henan,200,5170,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region17Hubei_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region17Hubei_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region17Hubei,200,33464,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region18Hunan_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region18Hunan_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region18Hunan,200,10668,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region19Guangdong_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region19Guangdong_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region19Guangdong,200,12682,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region20Guangxi_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region20Guangxi_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region20Guangxi,200,15330,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region21Hainan_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region21Hainan_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region21Hainan,200,1002,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
