Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region7Jilin_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,304000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region7Jilin,15730,200,Region7Jilin_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region8Heilongjiang_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,706000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region8Heilongjiang,15060,200,Region8Heilongjiang_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region9Shanghai_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,10000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region9Shanghai,401,200,Region9Shanghai_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region10Jiangsu_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,177000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region10Jiangsu,11405,200,Region10Jiangsu_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region11Zhejiang_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,50000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region11Zhejiang,2067,200,Region11Zhejiang_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region12Anhui_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,225000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region12Anhui,8990,200,Region12Anhui_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region13Fujian_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,32000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region13Fujian,4560,200,Region13Fujian_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region14Jiangxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,152000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region14Jiangxi,6570,200,Region14Jiangxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region15Shandong_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,296000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region15Shandong,21837,200,Region15Shandong_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region16Henan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,291000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region16Henan,23340,200,Region16Henan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
